Title,Review,Date,Rating,cleaned_text
Never seen the anime and still enjoyed it,I have to admit that I've never watched any of the animated show One Piece or even heard about it for that matter. I'm really not a big fan of anime. Then after watching the trailers for this I thought it looked like a show for children. I was wrong. I kept reading about how good this show is and how it's #1 on Netflix so I thought I'd give it a chance. I'm glad I did because I couldn't have been more wrong. This is a show where people of all ages can enjoy. If you can just turn off your brain and watch I promise you'll have a good time. If you're looking for a new show to binge then give One Piece a try. You won't be disappointed!,04-Sep-23,8.0,admit ive never watched animated show one piece even heard matter im really big fan anime watching trailers thought looked like show children wrong kept reading good show netflix thought id give chance im glad couldnt wrong show people ages enjoy turn brain watch promise youll good time youre looking new show binge give one piece try wont disappointed
Not My Kind of Show. But This I Loved.,"I'm a 60yo man & old school like the The Marine Admiral 😄. I've never heard of One Piece anime, in fact I'm not into anime at all. But this, this was a complete experience, it is bloody addictive.

The main characters optimism & acceptance of others pursuing their dreams regardless of whether or not he agrees with them or indeed they're the dreams of his enemies is a thing of beauty. The kids attitude to his fellow man is admirable & his attitude toward pursuing his own life should serve as a lesson to us all.

The other characters come together nicely too, each different but each with unique problems & gifts - they gel nicely.

I can't put my finger on why I loved this show, I just did. It's quirky, it's violent, it's gentle, it's about battles, friendships, dreams, courage, fear & loyalty, & all of it done meaningfully.

It's also beautiful to look at.

I hope there is a season 2. It deserves to continue.

Bravo 👏",04-Sep-23,9.0,im yo man old school like marine admiral ive never heard one piece anime fact im anime complete experience bloody addictive main characters optimism acceptance others pursuing dreams regardless whether agrees indeed theyre dreams enemies thing beauty kids attitude fellow man admirable attitude toward pursuing life serve lesson us characters come together nicely different unique problems gifts gel nicely cant put finger loved show quirky violent gentle battles friendships dreams courage fear loyalty done meaningfully also beautiful look hope season deserves continue bravo
I'm Shocked By How Good This Is...,"Every live action anime that I've briefly seen has been nothing short of a disaster, and considering how many times Netflix tried to bring Anime's to life I thought One Piece was about to receive the same fate. But to my surprise I was wrong.

Just 3 episodes in you could tell the care the creators put into this show. The set designs, the action sequences, and even to my surprise the actors bring so much.

Iñaki Godoy as Luffy is to my surprise holding his own in this role. Luffy is such a love or hate character and imagining a live action for him seems like a recipe for disaster. But Godoy somehow is able to maintain the goofiness within the character without making him unbearable, and that deserves some applause. I think Emily Rudd, Mackenyu, Morgan Davies, and Jacob Romero are great as well.

And as someone who's only watched the first 10-15 episodes of One Piece, I love the route they went with Buggy in episode 2 compared to the beginning of the Anime/Manga. Jeff Ward made him extremely terrifying in the show and the way they used the crowd as prisoners, forcing them to clap was slightly terrifying.

I wasn't even sure if they'd do the iconic Shanks moment early on for budget reasons, but they did it and it was actually great. Not to say everything is perfect because at times the show can get a little too cartoony for me, but my low expectations were blown away. I'm glad to see the awful live action anime stereotype take a hit and potentially make room for other people who aspire to bring an anime to life, and even with a very small chance, potentially do it justice like we saw here.

It's only season 1 and there is plenty of room for error, but I'm glad to say I've been proven wrong and I actually have hope for this adaptation.",01-Sep-23,9.0,every live action anime ive briefly seen nothing short disaster considering many times netflix tried bring animes life thought one piece receive fate surprise wrong episodes could tell care creators put show set designs action sequences even surprise actors bring much iaki godoy luffy surprise holding role luffy love hate character imagining live action seems like recipe disaster godoy somehow able maintain goofiness within character without making unbearable deserves applause think emily rudd mackenyu morgan davies jacob romero great well someone whos watched first episodes one piece love route went buggy episode compared beginning animemanga jeff ward made extremely terrifying show way used crowd prisoners forcing clap slightly terrifying wasnt even sure theyd iconic shanks moment early budget reasons actually great say everything perfect times show get little cartoony low expectations blown away im glad see awful live action anime stereotype take hit potentially make room people aspire bring anime life even small chance potentially justice like saw season plenty room error im glad say ive proven wrong actually hope adaptation
See Netflix?? You CAN do it...,"This is bar none one of the best live-action adaptions to any animated source material I have ever seen. I have been a diehard One Piece fan since I was a preteen; it was one of the first manga I ever read and I still watch it to this day. Admittedly, when I first saw a remake was in the works and saw the promos for it, I could feel myself almost instinctively getting nauseous. I saw the characters and bauked at the mere aesthetics of the show, let alone the other details. My heart sank into a pit as I pleaded pitifully in my head, ""Please, PLEASE don't touch this one. I still haven't recovered from the massacring of Avatar TLA, Dragonball Evolution (I know those weren't Netflix, but still), Death Note, AND FullMetal Alchemist, please don't destroy something else from my childhood just for the sake of playing pretend and trying to get subscriptions .""

But lo and behold, I watched the trailer for it and every previously described feeling of dread in me was evaporated by a sudden rush of euphoria and excitement. I had goosebumps on my goosebumps and my heart was in my throat. I immediately resubscribed to Netflix and began watching and MY-GOSH, guys.

I will restate that this is the best adaption of any source material I've ever seen. I will warn you the more ""human"" looking rendition of the characters takes some getting used to, but my gosh, it's all there - the humor, the action, the heart, and barely a single editorial or filmographic choice is wasted. You're not going to find a cut-by-cut (no pun intended, Zoro) rendition of the original story, but that actually works here and keeps things moving and working in a cohesive way.

For first time fans or devoted veterans like me, you could not ask for a better introduction to an anime series in this medium. Please give it a chance.",04-Sep-23,10.0,bar none one best liveaction adaptions animated source material ever seen diehard one piece fan since preteen one first manga ever read still watch day admittedly first saw remake works saw promos could feel almost instinctively getting nauseous saw characters bauked mere aesthetics show let alone details heart sank pit pleaded pitifully head please please dont touch one still havent recovered massacring avatar tla dragonball evolution know werent netflix still death note fullmetal alchemist please dont destroy something else childhood sake playing pretend trying get subscriptions lo behold watched trailer every previously described feeling dread evaporated sudden rush euphoria excitement goosebumps goosebumps heart throat immediately resubscribed netflix began watching mygosh guys restate best adaption source material ive ever seen warn human looking rendition characters takes getting used gosh humor action heart barely single editorial filmographic choice wasted youre going find cutbycut pun intended zoro rendition original story actually works keeps things moving working cohesive way first time fans devoted veterans like could ask better introduction anime series medium please give chance
WE WANT SEASON 2,"Being a one piece fan myself, I was a bit insecured about starting the series but boy do I never got off my bed through all these 8 episodes. The Live Adaptation is way beyond my expectations and I seriously cried and laughed along every emotional and comforting moment. NETFLIX PLEASE RELEASE SEASON 2. The portrayal of Monkey D Luffy was perfect as well as other characters. Every Episode had its own main character and the introduction to each and every straw pirate crew was done with utmost respect and love 💕. Can't wait for more pirate crew members to be introduced in the later seasons especially Nico Robin.",31-Aug-23,10.0,one piece fan bit insecured starting series boy never got bed episodes live adaptation way beyond expectations seriously cried laughed along every emotional comforting moment netflix please release season portrayal monkey luffy perfect well characters every episode main character introduction every straw pirate crew done utmost respect love cant wait pirate crew members introduced later seasons especially nico robin
Wow! Just Big Wow!!,"GREAT ADAPTATION! As an old-school fan (since 2006) I can say that this was made with love for old fans and new fans! Welcome to the grand line! Next stop! The new world! I want season 2, 3, 4, 5! Etc Make it happen Netflix! You should be working on Chopper, looking for Robin, Ace, and Vivi... The cast is great, and the locations and CGI are on point! The small changes are OK, and it does not feel like forced. The chemistry is natural, and the scripts are well made.... as Oda-san said ""This is good and can be better"", I will watch this several times and with the different dubs! ENJOY NAKAMAS!!",31-Aug-23,10.0,great adaptation oldschool fan since say made love old fans new fans welcome grand line next stop new world want season etc make happen netflix working chopper looking robin ace vivi cast great locations cgi point small changes ok feel like forced chemistry natural scripts well made odasan said good better watch several times different dubs enjoy nakamas
"Not an anime fan, but this a fun adventure!","My kids play and watch One Piece anime and love it! I wasn't terribly interested, but decided to give it a go. I'm glad I did! I enjoyed most of the Witcher (played the games as well), but in all honesty, this show is just more entertaining (yes, i realize a different genre but i was thrilled for the witcher series). The characters, especially Buggy (the clown), are well acted, fights scenes different and action-packed, and the cgi is rather good...that sea dragon should be in GoT or House of the Dragon! Now i have a fun show where i can kickback and relax, discuss the show with my kids, and now i'm a slightly intrigued about the game/anime. Thanks netflix, season 2 please!",04-Sep-23,9.0,kids play watch one piece anime love wasnt terribly interested decided give go im glad enjoyed witcher played games well honesty show entertaining yes realize different genre thrilled witcher series characters especially buggy clown well acted fights scenes different actionpacked cgi rather goodthat sea dragon got house dragon fun show kickback relax discuss show kids im slightly intrigued gameanime thanks netflix season please
Netflix can make something great,"I was so surprised that Netflix made something that was incredible. I am a new fan of One Piece anime and I had only seem as few of the episodes when I heard that Netflix was releasing a live action of One Piece.

As I watched the first few episodes I could see that they had stuck closely to the source material. I got more and more excited with each episode.

Everything is awesome! All the actors are incredible. Each one embodies his or her character as if it was written for them. I especially love Iñaki Godoy, the actor who plays Monkey D. Luffy self proclaimed ""King of the Pirates"". He is an amazing actor.

The story is about friendship and protecting your friends and their dreams even if you don't agree.

There has never been a pirate series or film that is better than One Piece. I will be rewatching it often.",11-Sep-23,10.0,surprised netflix made something incredible new fan one piece anime seem episodes heard netflix releasing live action one piece watched first episodes could see stuck closely source material got excited episode everything awesome actors incredible one embodies character written especially love iaki godoy actor plays monkey luffy self proclaimed king pirates amazing actor story friendship protecting friends dreams even dont agree never pirate series film better one piece rewatching often
Refreshingly Fun,"Parenthetically I don't know anything about the source material in particular or anime in general.

The series is compulsively watchable for several reasons.

The first is the world-building. The setting is fantastical but the show makes it effortlessly understandable and relatable.

The second is the characters. The characters here are mostly tropes but they're so likeable and well-realized by the performers that you can't help getting invested in them.

The third is the sense of light-hearted positivity that pervades the series. It touches on some pretty dark issues but the show and its irrepressibly-optimistic protagonist always have a positive outlook. People's faith in one another is actually rewarded rather than being mocked or denigrated. Image that in 2023.",16-Sep-23,8.0,parenthetically dont know anything source material particular anime general series compulsively watchable several reasons first worldbuilding setting fantastical show makes effortlessly understandable relatable second characters characters mostly tropes theyre likeable wellrealized performers cant help getting invested third sense lighthearted positivity pervades series touches pretty dark issues show irrepressiblyoptimistic protagonist always positive outlook peoples faith one another actually rewarded rather mocked denigrated image
Best show of the year!!,"Initially I was apprehensive because of anime adaptation productions for live action. I've been watching and reading onepiece for 20 years and this series so represents the spirit of this work that I love so much. I was very happy with the result!

And I have to say , Honestly, the best live action anime adaptation I've ever seen. This is coming from someone who loves One Piece. So, I was looking for reasons to criticise it, and there are some flaws.. but there were also things this series improved on the original. Overall, I you all should watch it , totally recommend it. Its a great! Lets go season 2!!!!",31-Aug-23,10.0,initially apprehensive anime adaptation productions live action ive watching reading onepiece years series represents spirit work love much happy result say honestly best live action anime adaptation ive ever seen coming someone loves one piece looking reasons criticise flaws also things series improved original overall watch totally recommend great lets go season
